GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
67571,1662,-5,2020.09.01,C53,Rated Bullet game,"Italian Game: Classical Variation, Center Attack",1,0,Jan-00,https://lichess.org/2NNTVCIE,Time forfeit,60+0,0:59:35,1707,5,Low rating,Low rating,60,0,Bullet,69,5,3,1,2,3,4,9,9,8,0,0,0,0,0,1,0,1,0,4,0
67612,1758,8,2020.09.01,D00,Rated Rapid game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/vXGauqCa,Normal,300+5,0:59:36,1829,-7,Low rating,Low rating,300,5,Blitz,92,1,1,7,9,4,4,12,14,0,12,0,1,0,5,4,3,1,0,4,1
67629,2366,-4,2020.09.01,E73,Rated Blitz game,"King's Indian Defense: Averbakh Variation, Flexible Defense",0.5,0.5,1/2-1/2,https://lichess.org/3pts3d70,Normal,180+2,0:59:37,2141,3,High rating,High rating,180,2,Blitz,95,0,0,1,1,7,6,8,7,0,0,0,0,0,0,1,4,0,0,7,0
67632,1641,-6,2020.09.01,B20,Rated Blitz game,Sicilian Defense: Snyder Variation,1,0,Jan-00,https://lichess.org/gFSPj6Im,Normal,180+2,0:59:37,1601,9,Low rating,Low rating,180,2,Blitz,41,1,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0
67642,1187,-6,2020.09.01,C50,Rated Blitz game,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1,0,Jan-00,https://lichess.org/pWdu5oTH,Normal,300+3,0:59:37,1186,33,Low rating,Low rating,300,3,Blitz,66,1,2,8,5,1,2,10,9,14,0,1,0,3,0,2,0,0,0,13,1
67644,2004,-6,2020.09.01,B18,Rated Blitz game,Caro-Kann Defense: Classical Variation,1,0,Jan-00,https://lichess.org/WH87d28Y,Normal,300+3,0:59:37,1990,6,High rating,High rating,300,3,Blitz,76,2,0,4,2,0,0,6,2,0,0,0,0,0,0,1,1,0,1,4,0
67678,2010,-6,2020.09.01,A00,Rated Bullet game,Van't Kruijs Opening,1,0,Jan-00,https://lichess.org/z7P6LBfC,Normal,60+0,0:59:38,1972,6,High rating,High rating,60,0,Bullet,49,3,2,1,0,4,0,8,2,0,0,0,0,0,0,2,0,1,0,1,0
67733,1959,-5,2020.09.01,A40,Rated Blitz game,Modern Defense,1,0,Jan-00,https://lichess.org/YfQZ7LtQ,Normal,180+0,0:59:44,1971,6,High rating,High rating,180,0,Blitz,55,1,0,2,0,3,1,6,1,0,0,0,0,0,0,1,1,1,0,1,0
67735,2033,6,2020.09.01,D06,Rated Blitz game,Queen's Gambit Refused: Marshall Defense,0,1,0-1,https://lichess.org/fJXdhpv0,Time forfeit,180+0,0:59:44,2025,-5,High rating,High rating,180,0,Blitz,84,1,2,6,8,9,6,16,16,1,8,0,2,0,2,0,2,0,2,11,1
67742,1149,6,2020.09.01,A45,Rated Blitz game,Indian Game,0,1,0-1,https://lichess.org/gHOpzotL,Normal,180+0,0:59:44,1151,-6,Low rating,Low rating,180,0,Blitz,50,0,1,2,0,1,3,3,4,0,0,0,0,0,0,0,0,0,0,2,0
