GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
11,1143,6,2020.09.01,A02,Rated Blitz game,Bird Opening,0,1,0-1,https://lichess.org/hjb8FYm1,Time forfeit,300+0,0:00:00,1180,-7,Low rating,Low rating,300,0,Blitz,66,4,2,0,3,3,1,7,6,8,8,0,0,0,0,2,1,1,1,8,0
14,1504,,2020.09.01,A04,Rated Blitz game,Réti Opening,0,1,0-1,https://lichess.org/Iz2fbHuE,Normal,300+0,0:00:00,1381,,Low rating,Low rating,300,0,Blitz,64,2,1,1,1,7,5,10,7,0,0,0,0,0,0,0,1,0,0,6,0
29,1933,1,2020.09.01,C41,Rated Blitz game,Philidor Defense,0,1,0-1,https://lichess.org/Cdj7flmY,Time forfeit,300+2,0:00:00,1485,-1,High rating,Low rating,300,2,Blitz,70,0,1,1,2,8,8,9,11,0,2,0,0,0,0,1,1,1,0,5,0
40,1710,10,2020.09.01,B23,Rated Blitz game,Sicilian Defense: Closed,0,1,0-1,https://lichess.org/WZQ9FEpD,Normal,180+2,0:00:00,2040,-11,Low rating,High rating,180,2,Blitz,86,4,2,1,5,3,4,8,11,18,0,4,0,0,0,3,1,1,0,8,1
55,1598,-1,2020.09.01,B03,Rated Rapid game,Alekhine Defense,1,0,Jan-00,https://lichess.org/ESlJl57U,Normal,600+0,0:00:00,2163,0,Low rating,High rating,600,0,Rapid,71,1,0,1,1,6,2,8,3,0,0,0,0,0,0,0,0,0,0,2,0
56,2207,4,2020.09.01,E32,Rated Rapid game,"Nimzo-Indian Defense: Classical Variation, Keres Defense",0,1,0-1,https://lichess.org/0Qr4Q3Yr,Normal,600+0,0:00:00,2062,-7,High rating,High rating,600,0,Rapid,73,0,1,3,5,3,4,6,10,0,0,0,0,0,0,1,1,0,1,6,0
70,1632,-5,2020.09.01,D00,Rated Bullet game,Queen's Pawn Game,1,0,Jan-00,https://lichess.org/5rdLi2Xy,Normal,120+1,0:00:01,1651,5,Low rating,Low rating,120,1,Bullet,39,1,0,1,1,3,1,5,2,0,0,0,0,0,0,0,1,0,0,3,0
72,1420,5,2020.09.01,D00,Rated Bullet game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/UCrQJl9U,Time forfeit,120+1,0:00:01,1439,-79,Low rating,Low rating,120,1,Bullet,110,6,6,5,4,3,5,14,15,0,3,0,0,0,0,1,2,1,1,18,0
162,942,-3,2020.09.01,C46,Rated Blitz tournament https://lichess.org/tournament/YjcEBmci,Four Knights Game: Italian Variation,1,0,Jan-00,https://lichess.org/6HICG50e,Normal,240+2,0:00:04,1088,23,Low rating,Low rating,240,2,Blitz,69,7,3,4,2,3,5,14,10,0,0,0,0,0,0,1,0,1,0,13,0
196,1500,180,2020.09.01,E73,Rated Rapid tournament https://lichess.org/tournament/KO9fCNFo,"King's Indian Defense: Normal Variation, Standard Development",0,1,0-1,https://lichess.org/5mPzDhFr,Time forfeit,600+5,0:00:05,1559,-5,Low rating,Low rating,600,5,Rapid,28,0,0,1,3,1,2,2,5,0,0,0,0,0,0,3,4,0,3,3,0
239,1728,4,2020.09.01,C00,Rated Blitz game,French Defense: Knight Variation,0,1,0-1,https://lichess.org/dDM88K3O,Normal,300+0,0:00:11,1648,-4,Low rating,Low rating,300,0,Blitz,52,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
244,1346,-5,2020.09.01,C47,Rated Blitz game,Four Knights Game: Scotch Variation Accepted,1,0,Jan-00,https://lichess.org/0hH7QKyT,Normal,300+0,0:00:11,1336,122,Low rating,Low rating,300,0,Blitz,39,3,1,3,0,1,3,7,4,0,0,0,0,0,0,0,0,0,0,4,0
253,2018,-6,2020.09.01,D00,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,Queen's Pawn Game,1,0,Jan-00,https://lichess.org/1fSb589Q,Normal,600+0,0:00:11,2002,7,High rating,High rating,600,0,Rapid,44,1,0,2,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,2,0
259,2141,8,2020.09.01,B00,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",0,1,0-1,https://lichess.org/BW9NarOD,Normal,600+0,0:00:11,2075,-9,High rating,High rating,600,0,Rapid,80,0,1,0,3,3,5,3,9,0,0,0,0,0,0,1,1,0,1,3,0
262,1943,-5,2020.09.01,B07,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,Pirc Defense,1,0,Jan-00,https://lichess.org/sqCJcOrM,Normal,600+0,0:00:11,1990,5,High rating,High rating,600,0,Rapid,63,3,2,3,1,6,2,12,5,0,0,0,0,0,0,0,0,0,0,2,0
268,1404,-17,2020.09.01,B30,Rated Rapid game,Sicilian Defense: Old Sicilian,1,0,Jan-00,https://lichess.org/AAeONrLe,Normal,600+5,0:00:13,1347,7,Low rating,Low rating,600,5,Rapid,43,3,3,6,3,3,3,12,9,0,0,0,0,0,0,0,0,0,0,8,0
299,2000,-6,2020.09.01,C46,Rated Blitz game,Four Knights Game,1,0,Jan-00,https://lichess.org/AVzMUlXt,Normal,180+0,0:00:14,1988,6,High rating,High rating,180,0,Blitz,41,2,0,2,4,3,3,7,7,0,0,0,0,0,0,0,0,0,0,4,0
303,1364,24,2020.09.01,B21,Rated Blitz game,Sicilian Defense: Smith-Morra Gambit,0,1,0-1,https://lichess.org/LYtPPfIQ,Normal,180+0,0:00:05,1330,-5,Low rating,Low rating,180,0,Blitz,62,2,3,8,3,1,4,11,10,0,0,0,0,0,0,1,0,1,0,20,0
314,1200,-6,2020.09.01,A45,Rated Blitz game,Indian Game: Pawn Push Variation,1,0,Jan-00,https://lichess.org/wE0Urtuz,Time forfeit,180+0,0:00:05,1152,7,Low rating,Low rating,180,0,Blitz,71,2,3,3,2,7,3,12,8,12,0,1,0,2,0,1,0,1,0,9,2
316,1950,-5,2020.09.01,C44,Rated Classical game,Ponziani Opening: Jaenisch Counterattack,1,0,Jan-00,https://lichess.org/0ZvHjjZY,Normal,1800+0,0:00:05,1980,6,High rating,High rating,1800,0,Classical,73,2,0,5,7,3,2,10,9,0,0,0,0,0,0,0,0,0,0,5,0
343,1867,6,2020.09.01,C00,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,French Defense,0,1,0-1,https://lichess.org/lHtLJbTl,Normal,60+0,0:00:07,1871,-6,Low rating,Low rating,60,0,Bullet,68,4,6,6,5,3,6,13,17,0,0,0,0,0,0,0,0,0,0,10,0
357,1535,-6,2020.09.01,A40,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,Englund Gambit,1,0,Jan-00,https://lichess.org/g2PHolE2,Time forfeit,60+0,0:00:07,1518,6,Low rating,Low rating,60,0,Bullet,55,0,0,8,4,2,7,10,11,5,3,0,0,2,0,1,0,0,0,12,2
360,1904,-6,2020.09.01,B12,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,Caro-Kann Defense: Advance Variation,1,0,Jan-00,https://lichess.org/x4Sp8mQ6,Normal,60+0,0:00:07,1934,6,High rating,High rating,60,0,Bullet,83,1,0,1,0,5,2,7,2,0,0,0,0,0,0,0,0,0,0,2,0
399,1696,-6,2020.09.01,D02,Rated Blitz game,Queen's Pawn Game: Chigorin Variation,1,0,Jan-00,https://lichess.org/xqhBRc1u,Normal,180+2,0:00:11,1673,6,Low rating,Low rating,180,2,Blitz,63,2,0,1,0,6,4,9,4,0,14,0,0,0,0,0,3,0,0,1,0
407,803,12,2020.09.01,A00,Rated Blitz tournament https://lichess.org/tournament/dZ1fLtN3,Saragossa Opening,0,1,0-1,https://lichess.org/Ier0tZNs,Time forfeit,180+2,0:00:18,908,-8,Low rating,Low rating,180,2,Blitz,50,2,1,4,4,7,3,13,8,0,15,0,1,0,3,1,5,1,2,7,2
465,1488,-7,2020.09.01,C54,Rated Rapid tournament https://lichess.org/tournament/pVXpraU4,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",1,0,Jan-00,https://lichess.org/ZLYF7jmw,Normal,600+5,0:00:20,1448,14,Low rating,Low rating,600,5,Rapid,65,2,0,1,0,5,3,8,3,0,0,0,0,0,0,0,0,0,0,1,0
469,1351,32,2020.09.01,C48,Rated Rapid tournament https://lichess.org/tournament/pVXpraU4,"Four Knights Game: Spanish Variation, Classical Variation",0,1,0-1,https://lichess.org/5fxc4HtC,Normal,600+5,0:00:20,1297,-5,Low rating,Low rating,600,5,Rapid,43,3,6,3,1,0,4,6,11,0,0,0,0,0,0,0,0,0,0,12,0
477,1268,33,2020.09.01,D20,Rated Rapid game,"Queen's Gambit Accepted: Central Variation, Modern Defense",0,1,0-1,https://lichess.org/GXTcV1YF,Normal,900+10,0:00:20,1313,-15,Low rating,Low rating,900,10,Rapid,62,1,3,2,2,1,4,4,9,0,0,0,0,0,0,0,1,0,1,5,0
481,1450,7,2020.09.01,A41,Rated Rapid game,Old Indian Defense,0,1,0-1,https://lichess.org/DyHUrlnq,Normal,900+10,0:00:20,1494,-9,Low rating,Low rating,900,10,Rapid,21,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
488,916,-9,2020.09.01,C42,Rated Bullet game,Russian Game: Urusov Gambit,1,0,Jan-00,https://lichess.org/UDcQE8CC,Normal,60+0,0:00:20,810,26,Low rating,Low rating,60,0,Bullet,45,3,1,4,5,2,0,9,6,0,0,0,0,0,0,1,2,1,0,2,0
490,1440,-6,2020.09.01,C56,Rated Bullet game,"Italian Game: Scotch Gambit, Nakhmanson Gambit",1,0,Jan-00,https://lichess.org/JSaFV3fR,Time forfeit,60+0,0:00:20,1410,7,Low rating,Low rating,60,0,Bullet,37,4,4,0,2,2,2,6,8,1,0,1,0,0,0,3,1,2,0,5,1
556,1947,5,2020.09.01,C30,Rated Blitz game,"King's Gambit Declined, Queen's Knight Defense",0,1,0-1,https://lichess.org/kEGfnKsV,Normal,180+0,0:00:17,1940,-6,High rating,High rating,180,0,Blitz,80,1,3,4,6,2,3,7,12,1,0,0,0,0,0,0,0,0,0,6,0
581,1757,6,2020.09.01,D25,Rated Blitz game,Queen's Gambit Accepted: Janowski-Larsen Variation,0,1,0-1,https://lichess.org/qFL84HPV,Time forfeit,300+3,0:00:17,1755,-6,Low rating,Low rating,300,3,Blitz,50,0,1,0,1,4,4,4,6,0,4,0,1,0,0,2,3,0,2,1,0
616,1516,26,2020.09.01,C65,Rated Rapid tournament https://lichess.org/tournament/VA54fYPg,Ruy Lopez: Berlin Defense,0,1,0-1,https://lichess.org/LywqL7uc,Normal,600+5,0:00:22,1523,-7,Low rating,Low rating,600,5,Rapid,68,1,3,0,2,6,5,7,10,0,0,0,0,0,0,0,0,0,0,6,0
628,2293,2,2020.09.01,B28,Rated Blitz tournament https://lichess.org/tournament/x6jo7cP4,"Sicilian Defense: O'Kelly Variation, Normal System, Smith-Morra Line",0,1,0-1,https://lichess.org/v50EtiYR,Normal,180+0,0:00:22,1993,-2,High rating,High rating,180,0,Blitz,55,0,2,1,2,6,6,7,10,0,0,0,0,0,0,0,0,0,0,5,0
634,1439,-7,2020.09.01,A13,Rated Blitz game,English Opening: Agincourt Defense,1,0,Jan-00,https://lichess.org/1ejXvV1l,Normal,300+0,0:00:24,1404,7,Low rating,Low rating,300,0,Blitz,79,2,1,6,6,2,1,10,8,0,0,0,0,0,0,0,0,0,0,7,0
649,1262,10,2020.09.01,C55,Rated Rapid game,Italian Game: Anti-Fried Liver Defense,0,1,0-1,https://lichess.org/I4MLLnVL,Normal,600+0,0:00:24,1269,-6,Low rating,Low rating,600,0,Rapid,70,0,1,2,3,4,3,6,7,0,0,0,0,0,0,1,0,0,0,5,0
650,2112,7,2020.09.01,C13,Rated Rapid game,"French Defense: Classical Variation, Richter Attack",0,1,0-1,https://lichess.org/hPPVX7pl,Normal,600+0,0:00:24,2212,-7,High rating,High rating,600,0,Rapid,48,1,3,1,3,2,2,4,8,0,0,0,0,0,0,1,2,0,1,3,0
652,1811,49,2020.09.01,B03,Rated Rapid game,Alekhine Defense: Balogh Variation,0,1,0-1,https://lichess.org/P6wvJIJx,Time forfeit,600+0,0:00:24,1771,-20,Low rating,Low rating,600,0,Rapid,66,0,1,0,2,3,3,3,6,0,0,0,0,0,0,0,0,0,0,1,0
658,2007,-6,2020.09.01,B20,Rated Rapid game,Sicilian Defense: Bowdler Attack,1,0,Jan-00,https://lichess.org/F7MxFGiC,Normal,600+0,0:00:24,1958,18,High rating,High rating,600,0,Rapid,45,2,1,0,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,5,0
664,2145,6,2020.09.01,D20,Rated Bullet game,Queen's Gambit Accepted: Old Variation,0,1,0-1,https://lichess.org/5vZHPthW,Time forfeit,120+1,0:00:24,2153,-6,High rating,High rating,120,1,Bullet,80,1,0,2,1,5,2,8,3,12,6,1,0,1,0,3,0,1,0,3,0
693,1787,-6,2020.09.01,C47,Rated Rapid tournament https://lichess.org/tournament/waB9DEWB,Four Knights Game: Scotch Variation Accepted,1,0,Jan-00,https://lichess.org/qfC6TXrP,Normal,600+5,0:00:25,1788,6,Low rating,Low rating,600,5,Rapid,67,3,2,5,4,8,5,16,11,0,1,0,0,0,0,0,2,0,2,12,0
698,1500,-163,2020.09.01,C44,Rated Rapid tournament https://lichess.org/tournament/waB9DEWB,King's Knight Opening: Normal Variation,1,0,Jan-00,https://lichess.org/lhQEnjvS,Normal,600+5,0:00:25,1500,173,Low rating,Low rating,600,5,Rapid,59,2,0,0,0,4,4,6,4,0,0,0,0,0,0,1,0,0,0,2,0
743,2038,-6,2020.09.01,D37,Rated Blitz game,Queen's Gambit Declined: Three Knights Variation,1,0,Jan-00,https://lichess.org/RxzBlHYm,Normal,180+2,0:00:25,2050,6,High rating,High rating,180,2,Blitz,51,2,1,2,2,1,2,5,5,0,0,0,0,0,0,3,1,1,0,4,0
776,1537,-30,2020.09.01,B34,Rated Blitz game,"Sicilian Defense: Accelerated Dragon, Modern Variation",1,0,Jan-00,https://lichess.org/SJFbACr2,Normal,180+2,0:00:27,1552,5,Low rating,Low rating,180,2,Blitz,55,2,0,4,7,2,4,8,11,0,0,0,0,0,0,1,1,0,1,6,0
784,2193,5,2020.09.01,A13,Rated Rapid tournament https://lichess.org/tournament/PyTrQpu8,"English Opening: Agincourt Defense, Bogoljubov Defense",0,1,0-1,https://lichess.org/U2B5MVFD,Normal,600+5,0:00:27,2125,-8,High rating,High rating,600,5,Rapid,80,1,3,4,5,4,3,9,11,4,0,0,0,0,0,2,0,0,0,12,0
793,1778,7,2020.09.01,A04,Rated Rapid tournament https://lichess.org/tournament/PyTrQpu8,Réti Opening,0,1,0-1,https://lichess.org/8wsN1tqR,Normal,600+5,0:00:27,1751,-5,Low rating,Low rating,600,5,Rapid,38,0,2,1,0,1,3,2,5,0,0,0,0,0,0,1,2,0,1,1,0
796,1954,61,2020.09.01,B13,Rated Rapid tournament https://lichess.org/tournament/PyTrQpu8,Caro-Kann Defense: Exchange Variation,0,1,0-1,https://lichess.org/sH6Sf8M8,Normal,600+5,0:00:27,1923,-5,High rating,High rating,600,5,Rapid,50,0,2,1,1,2,2,3,5,0,0,0,0,0,0,2,0,1,0,3,0
800,2300,-3,2020.09.01,B06,Rated Rapid tournament https://lichess.org/tournament/PyTrQpu8,Modern Defense: Standard Defense,1,0,Jan-00,https://lichess.org/Q9ZRAiTr,Normal,600+5,0:00:27,2441,5,High rating,GM rating,600,5,Rapid,73,1,0,6,4,6,0,13,4,1,1,0,0,0,0,1,1,1,0,6,0
803,1983,8,2020.09.01,E91,Rated Rapid tournament https://lichess.org/tournament/PyTrQpu8,King's Indian Defense: Orthodox Variation,0,1,0-1,https://lichess.org/uQe1LOtK,Normal,600+5,0:00:27,1975,-5,High rating,High rating,600,5,Rapid,80,0,1,2,2,2,6,4,9,0,13,0,1,0,0,1,4,0,2,9,1
829,1239,-7,2020.09.01,A13,Rated Bullet game,English Opening: Agincourt Defense,1,0,Jan-00,https://lichess.org/dnWjpMQK,Time forfeit,60+0,0:00:29,1255,5,Low rating,Low rating,60,0,Bullet,71,1,0,4,6,5,4,10,10,4,2,1,0,0,0,1,2,1,0,10,1
882,1785,6,2020.09.01,B22,Rated Blitz tournament https://lichess.org/tournament/nLsDCFvz,Sicilian Defense: Alapin Variation,0,1,0-1,https://lichess.org/tqq2Oehw,Normal,180+2,0:00:29,1783,-6,Low rating,Low rating,180,2,Blitz,60,1,3,3,4,2,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0
887,2267,0,2020.09.01,A00,Rated Blitz tournament https://lichess.org/tournament/nLsDCFvz,Saragossa Opening,0.5,0.5,1/2-1/2,https://lichess.org/4qjcO9IV,Normal,180+2,0:00:29,2266,0,High rating,High rating,180,2,Blitz,199,0,0,13,16,13,7,26,23,33,0,0,0,3,0,2,1,2,0,32,2
889,1813,9,2020.09.01,B34,Rated Rapid game,"Sicilian Defense: Accelerated Dragon, Modern Variation",0,1,0-1,https://lichess.org/jJJm8mN0,Normal,600+8,0:00:30,1973,-8,Low rating,High rating,600,8,Rapid,94,1,5,7,7,5,9,13,21,0,0,0,0,0,0,1,2,1,2,13,0
892,1347,-7,2020.09.01,E91,Rated Blitz game,King's Indian Defense: Orthodox Variation,1,0,Jan-00,https://lichess.org/56G9oyja,Normal,120+8,0:00:30,1249,21,Low rating,Low rating,120,8,Bullet,69,1,0,1,0,4,2,6,2,0,0,0,0,0,0,8,1,2,0,1,0
906,2100,-5,2020.09.01,A44,Rated Blitz game,Old Benoni Defense,1,0,Jan-00,https://lichess.org/Yc3qzGd6,Normal,180+0,0:00:30,2122,6,High rating,High rating,180,0,Blitz,55,0,0,7,4,3,4,10,8,0,0,0,0,0,0,1,0,1,0,7,0
914,1510,-5,2020.09.01,B20,Rated Blitz game,Sicilian Defense: Snyder Variation,1,0,Jan-00,https://lichess.org/qEFc0Bj9,Normal,300+3,0:00:31,1505,6,Low rating,Low rating,300,3,Blitz,39,2,1,2,3,2,1,6,5,0,0,0,0,0,0,1,0,1,0,7,0
936,1639,15,2020.09.01,B90,Rated Rapid tournament https://lichess.org/tournament/u4DTaueH,"Sicilian Defense: Najdorf Variation, Adams Attack",0,1,0-1,https://lichess.org/in1SwJ2A,Normal,600+0,0:00:31,1634,-6,Low rating,Low rating,600,0,Rapid,36,0,0,0,2,6,3,6,5,0,0,0,0,0,0,0,0,0,0,3,0
940,1641,6,2020.09.01,C57,Rated Rapid tournament https://lichess.org/tournament/u4DTaueH,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",0,1,0-1,https://lichess.org/KqD9Fy5M,Normal,600+0,0:00:31,1651,-10,Low rating,Low rating,600,0,Rapid,32,1,2,1,1,0,1,2,4,0,0,0,0,0,0,1,0,1,0,5,0
980,1139,-6,2020.09.01,C53,Rated Blitz tournament https://lichess.org/tournament/hM7PUvgg,"Italian Game: Classical Variation, Giuoco Pianissimo",1,0,Jan-00,https://lichess.org/xrZ1ETGK,Normal,180+0,0:00:31,1589,1,Low rating,Low rating,180,0,Blitz,63,1,0,2,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0
1053,1312,-6,2020.09.01,C42,Rated Blitz tournament https://lichess.org/tournament/24qBif2r,Russian Game: Stafford Gambit,1,0,Jan-00,https://lichess.org/mLvpaTY2,Time forfeit,300+0,0:00:38,1302,6,Low rating,Low rating,300,0,Blitz,63,4,2,4,1,4,0,12,3,8,4,1,0,3,0,2,0,0,0,7,2
1076,1691,65,2020.09.01,A00,Rated Blitz tournament https://lichess.org/tournament/0kTH1hC5,Gedult's Opening,0,1,0-1,https://lichess.org/Fu0spxg7,Time forfeit,240+1,0:00:40,1500,-108,Low rating,Low rating,240,1,Blitz,56,13,14,4,4,2,0,19,18,0,8,0,8,0,0,0,3,0,2,19,6
1084,1039,6,2020.09.01,D30,Rated Blitz tournament https://lichess.org/tournament/bP3hDZ63,Queen's Gambit Declined,0,1,0-1,https://lichess.org/6uawyxTg,Normal,300+2,0:00:40,1043,-35,Low rating,Low rating,300,2,Blitz,70,0,1,2,3,5,6,7,10,0,0,0,0,0,0,0,0,0,0,3,0
1087,1500,-163,2020.09.01,C46,Rated Blitz tournament https://lichess.org/tournament/bP3hDZ63,Four Knights Game: Italian Variation,1,0,Jan-00,https://lichess.org/DAEAzhOq,Normal,300+2,0:00:40,1500,165,Low rating,Low rating,300,2,Blitz,37,2,3,2,2,1,2,5,7,0,0,0,0,0,0,0,0,0,0,8,0
1101,1772,-5,2020.09.01,A40,Rated Bullet game,Borg Defense: Borg Gambit,1,0,Jan-00,https://lichess.org/GvfIRwWx,Normal,120+1,0:00:33,1810,12,Low rating,Low rating,120,1,Bullet,59,1,0,1,1,3,0,5,1,0,0,0,0,0,0,2,0,1,0,2,0
1141,1614,-6,2020.09.01,B53,Rated Bullet game,Sicilian Defense: Chekhover Variation,1,0,Jan-00,https://lichess.org/l3zYuWc0,Normal,60+0,0:00:34,1621,6,Low rating,Low rating,60,0,Bullet,41,2,0,2,1,4,1,8,2,0,0,0,0,0,0,1,1,1,0,4,0
1151,1219,-5,2020.09.01,A41,Rated Bullet game,Queen's Pawn,1,0,Jan-00,https://lichess.org/bf2pflJ0,Time forfeit,60+0,0:00:34,1293,5,Low rating,Low rating,60,0,Bullet,85,0,1,1,2,6,6,7,9,7,0,0,0,0,0,0,0,0,0,2,0
1162,2323,-6,2020.09.01,C50,Rated Rapid game,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1,0,Jan-00,https://lichess.org/aSlHVADs,Normal,600+0,0:00:34,2248,114,High rating,High rating,600,0,Rapid,23,0,0,1,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0
1204,1390,-11,2020.09.01,B07,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,Pirc Defense,1,0,Jan-00,https://lichess.org/7panQKpC,Normal,600+5,0:00:40,1404,6,Low rating,Low rating,600,5,Rapid,125,8,8,8,11,4,3,20,22,0,0,0,0,0,0,2,0,0,0,14,0
1213,1920,6,2020.09.01,B52,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,"Sicilian Defense: Canal Attack, Main Line",0,1,0-1,https://lichess.org/0dF9qht9,Normal,600+5,0:00:40,1928,-6,High rating,High rating,600,5,Rapid,82,0,1,2,4,1,4,3,9,0,0,0,0,0,0,3,1,0,0,5,0
1229,1824,6,2020.09.01,C47,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,Four Knights Game: Scotch Variation Accepted,0,1,0-1,https://lichess.org/RqoKgsSp,Normal,600+5,0:00:40,1819,-6,Low rating,Low rating,600,5,Rapid,66,2,3,3,2,1,2,6,7,0,0,0,0,0,0,0,0,0,0,8,0
1233,1672,18,2020.09.01,B40,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,"Sicilian Defense: French Variation, Normal",0,1,0-1,https://lichess.org/jaRpYay1,Normal,600+5,0:00:40,1682,-6,Low rating,Low rating,600,5,Rapid,80,0,1,9,10,0,2,9,13,0,0,0,0,0,0,0,1,0,1,4,0
1236,1979,-6,2020.09.01,B10,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",1,0,Jan-00,https://lichess.org/A412vg5Z,Normal,600+5,0:00:40,1953,6,High rating,High rating,600,5,Rapid,69,1,0,2,1,2,1,5,2,0,0,0,0,0,0,0,0,0,0,5,0
1239,1936,0,2020.09.01,D30,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,Queen's Gambit Declined,0.5,0.5,1/2-1/2,https://lichess.org/EemE891t,Normal,600+5,0:00:40,1939,0,High rating,High rating,600,5,Rapid,106,1,1,11,6,4,6,16,13,9,21,0,0,3,2,1,1,0,0,19,6
1274,1547,-6,2020.09.01,A52,Rated Blitz game,Budapest Defense: Adler Variation,1,0,Jan-00,https://lichess.org/J88JgCWl,Normal,180+0,0:00:41,1568,5,Low rating,Low rating,180,0,Blitz,95,5,5,4,2,6,4,15,11,15,16,1,1,1,0,3,1,1,0,12,0
1292,1244,17,2020.09.01,C50,Rated Rapid game,Italian Game,0,1,0-1,https://lichess.org/ZFpC7r4R,Normal,1200+3,0:00:42,1627,-51,Low rating,Low rating,1200,3,Classical,23,0,0,0,2,2,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0
1315,1833,-6,2020.09.01,C11,Rated Blitz tournament https://lichess.org/tournament/bdfFyROp,"French Defense: Classical Variation, Steinitz Variation",1,0,Jan-00,https://lichess.org/U76TzYvG,Normal,180+2,0:00:42,1850,6,Low rating,Low rating,180,2,Blitz,59,5,0,4,9,2,3,11,12,2,0,0,0,0,0,3,2,2,2,12,0
1316,1761,-3,2020.09.01,B08,Rated Blitz tournament https://lichess.org/tournament/bdfFyROp,"Pirc Defense: Classical Variation, Schlechter Variation",1,0,Jan-00,https://lichess.org/PYBtsysY,Normal,180+2,0:00:42,1929,88,Low rating,High rating,180,2,Blitz,85,1,0,5,2,6,4,12,6,0,0,0,0,0,0,2,1,1,0,1,0
1330,1961,6,2020.09.01,A01,Rated Rapid tournament https://lichess.org/tournament/bwDLPv9I,Nimzo-Larsen Attack: Modern Variation,0,1,0-1,https://lichess.org/7SpFYFio,Normal,600+5,0:00:42,1955,-16,High rating,High rating,600,5,Rapid,195,0,1,2,7,12,9,14,17,0,35,0,0,0,0,0,2,0,0,12,0
1331,1835,6,2020.09.01,C51,Rated Rapid tournament https://lichess.org/tournament/bwDLPv9I,"Evans Gambit, McDonnell Defense",0,1,0-1,https://lichess.org/YU8wwKbz,Normal,600+5,0:00:42,1862,-7,Low rating,Low rating,600,5,Rapid,168,6,8,12,12,3,7,21,27,20,0,1,0,4,0,0,2,0,2,13,1
1342,1438,5,2020.09.01,D02,Rated Rapid tournament https://lichess.org/tournament/bwDLPv9I,Queen's Pawn Game: Zukertort Variation,0,1,0-1,https://lichess.org/kxMACV7m,Normal,600+5,0:00:42,1419,-4,Low rating,Low rating,600,5,Rapid,62,3,3,2,4,5,4,10,11,0,0,0,0,0,0,0,1,0,1,10,0
1343,1802,6,2020.09.01,A45,Rated Rapid tournament https://lichess.org/tournament/bwDLPv9I,Indian Game,0,1,0-1,https://lichess.org/HKQVpTrU,Normal,600+5,0:00:42,1799,-6,Low rating,Low rating,600,5,Rapid,95,1,1,3,5,6,8,10,14,0,0,0,0,0,0,0,0,0,0,11,0
1365,1673,-6,2020.09.01,B06,Rated Rapid game,Modern Defense: Two Knights Variation,1,0,Jan-00,https://lichess.org/uQ8EkPaP,Normal,600+0,0:00:43,1677,6,Low rating,Low rating,600,0,Rapid,44,4,4,4,3,1,2,9,9,0,0,0,0,0,0,1,3,0,1,8,0
1372,1942,-9,2020.09.01,B30,Rated Rapid game,Sicilian Defense: Old Sicilian,1,0,Jan-00,https://lichess.org/sNqEmHR8,Normal,300+5,0:00:44,1736,10,High rating,Low rating,300,5,Blitz,53,1,0,2,2,7,5,10,7,0,0,0,0,0,0,0,4,0,2,5,0
1396,1127,16,2020.09.01,A20,Rated Blitz game,English Opening: King's English Variation,0,1,0-1,https://lichess.org/V1iOppUB,Normal,300+3,0:00:46,1146,-6,Low rating,Low rating,300,3,Blitz,38,2,3,4,5,0,2,6,10,0,0,0,0,0,0,1,0,0,0,8,0
